iteration_num,train,size,insulin,readmitted,default,method,model_acc,model1_acc,ate0,ate1,ate
0,True,23104,0.840893351800554,0.11348684210526316,True,ipw,0.5429476443027944,0.0,0.08879149922793657,0.1182033215624002,0.029411822334463628
0,True,23104,0.840893351800554,0.11348684210526316,True,s_learner,0.5038397093807359,0.0,0.0015581717451523547,0.0028999307479224377,0.001341759002770083
0,True,23104,0.840893351800554,0.11348684210526316,True,s_learner_star,0.5038397093807359,0.0,0.013287742382271468,0.10193040166204986,0.0886426592797784
0,True,23104,0.840893351800554,0.11348684210526316,True,t_learner,0.509044290454137,0.5034140975200145,0.003419321329639889,0.002640235457063712,-0.0007790858725761772
0,True,23104,0.840893351800554,0.11348684210526316,True,t_learner_star,0.509044290454137,0.5034140975200145,0.014932479224376731,0.10188711911357341,0.08695463988919669
0,True,23104,0.840893351800554,0.11348684210526316,False,ipw,0.7534391373477316,0.0,0.0771733701314857,0.1142528337085654,0.0370794635770797
0,True,23104,0.840893351800554,0.11348684210526316,False,s_learner,0.6086181716289595,0.0,0.16153047091412742,0.3930921052631579,0.2315616343490305
0,True,23104,0.840893351800554,0.11348684210526316,False,s_learner_star,0.6086181716289595,0.0,0.15979916897506924,0.14711738227146814,-0.012681786703601095
0,True,23104,0.840893351800554,0.11348684210526316,False,t_learner,0.625848914771549,0.6069193911290625,0.42248095567867033,0.3463036703601108,-0.07617728531855955
0,True,23104,0.840893351800554,0.11348684210526316,False,t_learner_star,0.625848914771549,0.6069193911290625,0.3806700138504155,0.14019217451523547,-0.24047783933518002
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_euclidean_k:1,1.0,0.9990903813043035,0.07903393351800554,0.11720914127423823,0.03817520775623269
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_propensity_k:1,1.0,0.9988483379139019,0.08972472299168975,0.1153479916897507,0.025623268698060947
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:2_:1,1.0,0.9989068927798113,0.0811547783933518,0.12067174515235457,0.039516966759002764
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:10_:1,1.0,0.9994573583532876,0.07803843490304709,0.11859418282548477,0.040555747922437685
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:20_:1,1.0,0.9994573583532876,0.07708621883656509,0.1189404432132964,0.04185422437673131
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:30_:1,1.0,0.9994573583532876,0.07596087257617729,0.1178150969529086,0.04185422437673131
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_euclidean_k:3,0.5744150480403678,0.6275333700443273,0.023848684210526317,0.10669148199445984,0.08284279778393353
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_propensity_k:3,0.5807397871016797,0.6122707576999649,0.028003808864265928,0.10474376731301939,0.07673995844875346
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:2_:3,0.5705916914356812,0.6165710021353838,0.031682825484764546,0.1077735457063712,0.07609072022160665
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:10_:3,0.5583115884426626,0.6248845223293374,0.028090373961218836,0.10751385041551247,0.07942347645429362
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:20_:3,0.5673558788967996,0.6169379791843681,0.027051592797783932,0.10725415512465374,0.0802025623268698
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:30_:3,0.5598560517038778,0.6240607176584034,0.029864958448753462,0.1072974376731302,0.07743247922437674
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_euclidean_k:5,0.5265453272966061,0.5505156316575014,0.01623095567867036,0.10344529085872577,0.0872143351800554
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_propensity_k:5,0.5248539780189396,0.5328989642017975,0.015278739612188365,0.10262292243767313,0.08734418282548476
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:2_:5,0.5118394449436648,0.5387393012784895,0.018914473684210526,0.10409452908587258,0.08518005540166206
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:10_:5,0.5179416948918227,0.5482865102047427,0.017356301939058173,0.10400796398891966,0.0866516620498615
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:20_:5,0.5063247390613119,0.5433557918237474,0.017269736842105265,0.10361842105263158,0.08634868421052631
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:30_:5,0.5088974044376857,0.5464574306124839,0.017356301939058173,0.10409452908587258,0.08673822714681441
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_euclidean_k:7,0.5072060551600194,0.5257350878198404,0.013374307479224377,0.10236322714681441,0.08898891966759004
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_propensity_k:7,0.5069122831271169,0.5097756227372282,0.01311461218836565,0.10193040166204986,0.08881578947368421
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:2_:7,0.5012506912283128,0.5159907607896684,0.0141101108033241,0.10279605263157894,0.08868594182825484
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:10_:7,0.5016913492776665,0.5243413823433408,0.014456371191135735,0.10288261772853186,0.08842624653739611
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:20_:7,0.5016913492776665,0.5278842009004991,0.013936980609418283,0.10270948753462604,0.08877250692520776
0,True,23104,0.840893351800554,0.11348684210526316,False,matching_nca:30_:7,0.5091911764705882,0.5221316961226712,0.013763850415512466,0.10296918282548477,0.0892053324099723
