,0
0,0.991583710299742
1,0.8807314530149597
2,0.5680703339840433
3,0.8587405620704083
4,0.8710480239031356
5,0.908159560283869
6,0.9233647827363373
7,0.6147682891147183
8,0.9503017042630348
9,0.8593998531115505
10,0.9407768322113551
11,0.7921716471709022
12,0.9380666900888657
13,0.7158788880321306
14,0.9052260553392166
15,0.6869378324936859
16,0.6833925159728257
17,0.6334886427989269
18,0.6128310745724592
19,0.9617263955950568
20,0.6369901368526177
21,0.9114128437637048
22,0.8293121511593892
23,0.8495138598426236
24,0.887679413733914
25,0.5690453910413651
26,0.722017033779176
27,0.7626695383161063
28,0.8645166803830924
29,0.7631039352179857
30,0.9531272723609054
31,0.6649689918532808
32,0.48906868660077274
33,0.9056897459771528
34,0.8151683633831712
35,0.8856103840094114
36,0.9289123801387807
37,0.907531294707799
38,0.890990091830821
39,0.8690140118808781
40,0.8331800370051965
41,0.7824728545313293
42,0.9608800230535055
43,0.7111322387870608
44,0.9229977104592243
45,0.8579835544376607
46,0.9350798100271722
47,0.91654511956788
48,0.9796827927165672
49,0.9606918692894447
50,0.8458830854957662
51,0.8157477876846031
52,0.8156555016503003
53,0.9431392287972837
54,0.8014978444446206
55,0.7916945545953834
56,0.8260924171707337
57,0.8052453195938742
58,0.8366831938765122
59,0.8562609635371927
60,0.6458372838011215
61,0.8177328681889547
62,0.8288717361420953
63,0.8779112757602148
64,0.861313694300136
65,0.930451928596259
66,0.5433091797975882
67,0.8479341743546284
68,0.743702769428594
69,0.92937369919233
70,0.8298319576015977
71,0.901641922674232
72,0.9252111615873445
73,0.784637231795191
74,0.9445369109904418
75,0.9323216962911163
76,0.9063151475042348
77,0.8573960237736282
78,0.8094087740321447
79,0.8959652557165297
80,0.9439809517970851
81,0.8083411827655186
82,0.8415012779033181
83,0.9485471734726544
84,0.7465694356193064
85,0.7100374669422868
86,0.8366988532337493
87,0.9044114723785598
88,0.8067210709756899
89,0.8504626051391786
90,0.8831635161106155
91,0.9170869532856168
92,0.9031997613314676
93,0.9018695365898544
94,0.8574111916805344
95,0.9577892635395174
96,0.914803274531507
97,0.9357918067844366
98,0.9458014985054997
99,0.9062825803262408
100,0.8297035328982232
101,0.9318995345539964
102,0.7174009419704597
103,0.8265350083923825
104,0.909868943355551
105,0.8261430703345157
106,0.86400159670591
107,0.9168447150056098
108,0.8709863952683542
109,0.7326966288692991
110,0.8416188381728902
111,0.77547564759913
112,0.8481437522143519
113,0.9342166504939763
114,0.869372935184405
115,0.7704453197184685
116,0.9494032888614656
117,0.7761909442794578
118,0.840638604888935
119,0.6962732994375475
120,0.7903791967511425
121,0.42691514299112115
122,0.693929523702737
123,0.551558028275881
124,0.8456632514565948
125,0.8685969602885811
126,0.7484239010532191
127,0.9564541527325467
128,0.3750567049472088
129,0.8960729998396618
130,0.7577707402630549
131,0.8545840091828907
132,0.798552961220527
133,0.9816172103775624
134,0.9101977585640714
135,0.9480104168661316
136,0.672443552864452
137,0.8470732064904392
138,0.8835032008309504
139,0.7870445658202426
140,0.9821809455810401
141,0.8489848350974988
142,0.720931071384173
143,0.784682389414361
144,0.9343188851863339
145,0.8653951438379974
146,0.7757156973561113
147,0.954832056269486
148,0.8117947666290207
149,0.47724371937091803
150,0.5933758978302953
151,0.6086900471108069
152,0.9247768577414948
153,0.9832562639609962
154,0.9098853022869535
155,0.8273230072767981
156,0.9295529338160593
157,0.49247086463579526
158,0.8967138687807532
159,0.880704082687127
160,0.5645485307232812
161,0.571133247739157
162,0.739569693726264
163,0.7541793650383545
164,0.7612375965706918
165,0.8958155864083563
166,0.8060112737325459
167,0.6044903709919512
168,0.8965396228072334
169,0.8335898100210287
170,0.9352344946494417
171,0.6668940180273821
172,0.8946056296940154
173,0.9902508408124168
174,0.5716166012654524
175,0.6742008645683385
176,0.9083248189639881
177,0.9782510832039031
178,0.9213831373498951
179,0.9880690845743854
180,0.8639108092903596
181,0.9475624480939094
182,0.4982546749997468
183,0.715050642239207
184,0.7452363072866786
185,0.8760171152345727
186,0.9232138647374262
187,0.9887844048497021
188,0.8278462368932398
189,0.7380236513030598
190,0.8615343044795719
191,0.9442137257935547
192,0.9889335182744853
193,0.9046456185697941
194,0.9212878239872262
195,0.8735420400272264
196,0.7058254293976686
197,0.7705122321396547
198,0.6428863843137965
199,0.8203165176516373
200,0.9629079849814758
201,0.8637033560792833
202,0.8960183371400403
203,0.9680321937846131
204,0.9584765531242644
205,0.8637640324040483
